,CHAS,NOX,RM,DIS,PTRATIO,LSTAT,price
451,0.0,0.713,6.655,2.3552,20.2,17.73,15.2
452,0.0,0.713,6.297,2.3682,20.2,17.27,16.1
453,0.0,0.713,7.393,2.4527,20.2,16.74,17.8
454,0.0,0.713,6.728,2.4961,20.2,18.71,14.9
455,0.0,0.713,6.525,2.4358,20.2,18.13,14.1
456,0.0,0.713,5.976,2.5806,20.2,19.01,12.7
457,0.0,0.713,5.936,2.7792,20.2,16.94,13.5
458,0.0,0.713,6.301,2.7831,20.2,16.23,14.9
459,0.0,0.713,6.081,2.7175,20.2,14.7,20.0
460,0.0,0.713,6.701,2.5975,20.2,16.42,16.4
461,0.0,0.713,6.376,2.5671,20.2,14.65,17.7
462,0.0,0.713,6.317,2.7344,20.2,13.99,19.5
463,0.0,0.713,6.513,2.8016,20.2,10.29,20.2
464,0.0,0.655,6.209,2.9634,20.2,13.22,21.4
465,0.0,0.655,5.759,3.0665,20.2,14.13,19.9
466,0.0,0.655,5.952,2.8715,20.2,17.15,19.0
467,0.0,0.584,6.003,2.5403,20.2,21.32,19.1
468,0.0,0.58,5.926,2.9084,20.2,18.13,19.1
469,0.0,0.58,5.713,2.8237,20.2,14.76,20.1
470,0.0,0.58,6.167,3.0334,20.2,16.29,19.9
471,0.0,0.532,6.229,3.0993,20.2,12.87,19.6
472,0.0,0.58,6.437,2.8965,20.2,14.36,23.2
473,0.0,0.614,6.98,2.5329,20.2,11.66,29.8
474,0.0,0.584,5.427,2.4298,20.2,18.14,13.8
475,0.0,0.584,6.162,2.206,20.2,24.1,13.3
476,0.0,0.614,6.484,2.3053,20.2,18.68,16.7
477,0.0,0.614,5.304,2.1007,20.2,24.91,12.0
478,0.0,0.614,6.185,2.1705,20.2,18.03,14.6
479,0.0,0.614,6.229,1.9512,20.2,13.11,21.4
480,0.0,0.532,6.242,3.4242,20.2,10.74,23.0
481,0.0,0.532,6.75,3.3317,20.2,7.74,23.7
482,0.0,0.532,7.061,3.4106,20.2,7.01,25.0
483,0.0,0.532,5.762,4.0983,20.2,10.42,21.8
484,0.0,0.583,5.871,3.724,20.2,13.34,20.6
485,0.0,0.583,6.312,3.9917,20.2,10.58,21.2
486,0.0,0.583,6.114,3.5459,20.2,14.98,19.1
487,0.0,0.583,5.905,3.1523,20.2,11.45,20.6
488,0.0,0.609,5.454,1.8209,20.1,18.06,15.2
489,0.0,0.609,5.414,1.7554,20.1,23.97,7.0
490,0.0,0.609,5.093,1.8226,20.1,29.68,8.1
491,0.0,0.609,5.983,1.8681,20.1,18.07,13.6
492,0.0,0.609,5.983,2.1099,20.1,13.35,20.1
493,0.0,0.585,5.707,2.3817,19.2,12.01,21.8
494,0.0,0.585,5.926,2.3817,19.2,13.59,24.5
495,0.0,0.585,5.67,2.7986,19.2,17.6,23.1
496,0.0,0.585,5.39,2.7986,19.2,21.14,19.7
497,0.0,0.585,5.794,2.8927,19.2,14.1,18.3
498,0.0,0.585,6.019,2.4091,19.2,12.92,21.2
499,0.0,0.585,5.569,2.3999,19.2,15.1,17.5
500,0.0,0.585,6.027,2.4982,19.2,14.33,16.8
501,0.0,0.573,6.593,2.4786,21.0,9.67,22.4
502,0.0,0.573,6.12,2.2875,21.0,9.08,20.6
503,0.0,0.573,6.976,2.1675,21.0,5.64,23.9
504,0.0,0.573,6.794,2.3889,21.0,6.48,22.0
505,0.0,0.573,6.03,2.505,21.0,7.88,11.9
